BioProject,#Organism Name,Organism Groups,Strain,BioSample,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
PRJNA351211,Bactrocera latifrons,Eukaryota;Animals;Insects,USDA-ARS-PBARC rearing strain,SAMN05727007,GCA_001853355.1,Scaffold,462.505,37.0997,mitochondrion MT:NC_029466.1/,MIMC01,3306,22638,2016-10-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/853/355/GCA_001853355.1_ASM185335v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/853/355/GCF_001853355.1_ASM185335v1
PRJNA665501,Myotis myotis,Eukaryota;Animals;Mammals,mMyoMyo1,SAMN14734277,GCA_014108235.1,Scaffold,2002.8,43.1999,mitochondrion MT:NC_029346.1/CM024383.1,JABWUV01,93,61156,2020-08-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/108/235/GCA_014108235.1_mMyoMyo1.p,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/108/235/GCF_014108235.1_mMyoMyo1.p
PRJNA675116,Falco rusticolus,Eukaryota;Animals;Birds,bFalRus1,SAMN12629496,GCA_015220075.1, Chromosome,1195.85,42.2349,chromosome 1:NC_051187.1/CM026666.1; chromosome 2:NC_051188.1/CM026667.1; chromosome 3:NC_051189.1/CM026668.1; chromosome 4:NC_051190.1/CM026669.1; chromosome 5:NC_051191.1/CM026670.1; chromosome 6:NC_051192.1/CM026671.1; chromosome 7:NC_051193.1/CM026672.1; chromosome 8:NC_051194.1/CM026673.1; chromosome 9:NC_051195.1/CM026674.1; chromosome 10:NC_051196.1/CM026675.1; chromosome 11:NC_051197.1/CM026676.1; chromosome 12:NC_051198.1/CM026677.1; chromosome 13:NC_051199.1/CM026678.1; chromosome 14:NC_051200.1/CM026679.1; chromosome 15:NC_051201.1/CM026680.1; chromosome 16:NC_051202.1/CM026681.1; chromosome 17:NC_051203.1/CM026682.1; chromosome 18:NC_051204.1/CM026683.1; chromosome 19:NC_051205.1/CM026684.1; chromosome 20:NC_051206.1/CM026685.1; chromosome 21:NC_051207.1/CM026686.1; chromosome 22:NC_051208.1/CM026687.1; chromosome W:NC_051209.1/CM026688.1; chromosome Z:NC_051210.1/CM026689.1; mitochondrion MT:NC_029359.1/CM026719.1,JADCQO01,133,41389,2020-11-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/220/075/GCA_015220075.1_bFalRus1.pri,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/220/075/GCF_015220075.1_bFalRus1.pri
PRJNA719130,Falco naumanni,Eukaryota;Animals;Birds,bFalNau1,SAMN16870685,GCA_017639655.1, Chromosome,1215.72,42.3193,chromosome 1:NC_054054.1/CM030145.1; chromosome 2:NC_054055.1/CM030146.1; chromosome 3:NC_054056.1/CM030147.1; chromosome 4:NC_054057.1/CM030148.1; chromosome 5:NC_054058.1/CM030149.1; chromosome 6:NC_054059.1/CM030150.1; chromosome 7:NC_054060.1/CM030151.1; chromosome 8:NC_054061.1/CM030152.1; chromosome 9:NC_054062.1/CM030153.1; chromosome 10:NC_054063.1/CM030154.1; chromosome 11:NC_054064.1/CM030155.1; chromosome 12:NC_054065.1/CM030156.1; chromosome 13:NC_054066.1/CM030157.1; chromosome 14:NC_054067.1/CM030158.1; chromosome 15:NC_054068.1/CM030159.1; chromosome 16:NC_054069.1/CM030160.1; chromosome 17:NC_054070.1/CM030161.1; chromosome 18:NC_054071.1/CM030162.1; chromosome 19:NC_054072.1/CM030163.1; chromosome 20:NC_054073.1/CM030164.1; chromosome 21:NC_054074.1/CM030165.1; chromosome 22:NC_054075.1/CM030166.1; chromosome 23:NC_054076.1/CM030167.1; chromosome 24:NC_054077.1/CM030168.1; chromosome 25:NC_054078.1/CM030169.1; chromosome W:NC_054079.1/CM030170.1; chromosome Z:NC_054080.1/CM030171.1; mitochondrion MT:NC_054728.1/CM030192.1,JAGFVS01,291,41132,2021-03-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/639/655/GCA_017639655.1_bFalNau1.pat,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/639/655/GCF_017639655.2_bFalNau1.pat
PRJNA629831,Coelastrella sp. MACC-549,Eukaryota;Plants;Green Algae,MACC-549,SAMN14792460,GCA_018290735.1,Scaffold,76.0916,51.1412,chloroplast Pltd:CM031383.1,JABEVS01,3743,0,2021-05-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/290/735/GCA_018290735.1_ASM1829073v1,
PRJNA574457,Quercus lobata,Eukaryota;Plants;Land Plants,SW786,SAMN10584531,GCA_001633185.5, Chromosome,845.947,35.4253,chromosome 1:NC_044904.1/CM012293.1; chromosome 2:NC_044905.1/CM012294.1; chromosome 3:NC_044906.1/CM012295.1; chromosome 4:NC_044907.1/CM012296.1; chromosome 5:NC_044908.1/CM012297.1; chromosome 6:NC_044909.1/CM012298.1; chromosome 7:NC_044910.1/CM012299.1; chromosome 8:NC_044911.1/CM012300.1; chromosome 9:NC_044912.1/CM012301.1; chromosome 10:NC_044913.1/CM012302.1; chromosome 11:NC_044914.1/CM012303.1; chromosome 12:NC_044915.1/CM012304.1; chloroplast Pltd:CM012305.2,LRBV02,2002,53226,2016-04-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/633/185/GCA_001633185.5_ValleyOak3.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/633/185/GCF_001633185.2_ValleyOak3.2
PRJNA753523,Puntigrus tetrazona,Eukaryota;Animals;Fishes,hp1,SAMN17036344,GCA_018831695.1, Chromosome,730.818,38.2502,chromosome 1:NC_056699.1/CM032068.1; chromosome 2:NC_056700.1/CM032069.1; chromosome 3:NC_056701.1/CM032070.1; chromosome 4:NC_056702.1/CM032071.1; chromosome 5:NC_056703.1/CM032072.1; chromosome 6:NC_056704.1/CM032073.1; chromosome 7:NC_056705.1/CM032074.1; chromosome 8:NC_056706.1/CM032075.1; chromosome 9:NC_056707.1/CM032076.1; chromosome 10:NC_056708.1/CM032077.1; chromosome 11:NC_056709.1/CM032078.1; chromosome 12:NC_056710.1/CM032079.1; chromosome 13:NC_056711.1/CM032080.1; chromosome 14:NC_056712.1/CM032081.1; chromosome 15:NC_056713.1/CM032082.1; chromosome 16:NC_056714.1/CM032083.1; chromosome 17:NC_056715.1/CM032084.1; chromosome 18:NC_056716.1/CM032085.1; chromosome 19:NC_056717.1/CM032086.1; chromosome 20:NC_056718.1/CM032087.1; chromosome 21:NC_056719.1/CM032088.1; chromosome 22:NC_056720.1/CM032089.1; chromosome 23:NC_056721.1/CM032090.1; chromosome 24:NC_056722.1/CM032091.1; chromosome 25:NC_056723.1/CM032092.1; mitochondrion MT:NC_010110.1/,JAEQBD01,1122,48681,2021-06-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/831/695/GCA_018831695.1_ASM1883169v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/831/695/GCF_018831695.1_ASM1883169v1
PRJNA325157,Setophaga coronata coronata,Eukaryota;Animals;Birds,EE26A12,SAMN05224218,GCA_001746935.2, Chromosome,1022.65,41.392,chromosome 1:CM027507.1; chromosome 1A:CM027536.1; chromosome 2:CM027508.1; chromosome 3:CM027509.1; chromosome 4:CM027510.1; chromosome 4A:CM027537.1; chromosome 5:CM027511.1; chromosome 6:CM027512.1; chromosome 7:CM027513.1; chromosome 8:CM027514.1; chromosome 9:CM027515.1; chromosome 10:CM027516.1; chromosome 11:CM027517.1; chromosome 12:CM027518.1; chromosome 13:CM027519.1; chromosome 14:CM027520.1; chromosome 15:CM027521.1; chromosome 17:CM027522.1; chromosome 18:CM027523.1; chromosome 19:CM027524.1; chromosome 20:CM027525.1; chromosome 21:CM027526.1; chromosome 22:CM027527.1; chromosome 23:CM027528.1; chromosome 24:CM027529.1; chromosome 25:CM027530.1; chromosome 26:CM027531.1; chromosome 27:CM027532.1; chromosome 28:CM027533.1; chromosome 29:CM027534.1; chromosome Z:CM027535.1; mitochondrion MT:CM027538.1,MDLI02,2109,0,2016-09-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/746/935/GCA_001746935.2_mywa_2.1,
PRJDB718,Klebsormidium nitens,Eukaryota;Plants;Other Plants,NIES-2285,SAMD00000399,GCA_000708835.1,Scaffold,104.21,52.3703,chloroplast Pltd:DF238762.1; mitochondrion MT:DF238763.1,BANV01,1814,16283,2014-05-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/708/835/GCA_000708835.1_ASM70883v1,
PRJNA350764,Radix auricularia,Eukaryota;Animals;Other Animals,pool of 3 individuals,SAMN05945931,GCA_002072015.1,Scaffold,909.764,33.6999,mitochondrion MT:CM007807.1,MUZC01,4823,0,2017-03-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/072/015/GCA_002072015.1_ASM207201v1,
PRJNA644888,Oscheius tipulae,Eukaryota;Animals;Roundworms,CEW1,SAMN15480678,GCA_013425905.1, Chromosome,60.9232,44.6385,chromosome I:CP059028.1; chromosome II:CP059029.1; chromosome III:CP059030.1; chromosome IV:CP059031.1; chromosome V:CP059032.1; chromosome X:CP059033.1; mitochondrion MT:CP059034.1,,7,0,2020-07-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/425/905/GCA_013425905.1_ASM1342590v1,
PRJNA578116,Pistacia vera,Eukaryota;Plants;Land Plants,,SAMN11269074,GCA_008641045.1,Scaffold,671.28,36.0005,plastid Pltd:NC_034998.1/,VTWI01,1865,41299,2019-09-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/641/045/GCA_008641045.1_PisVer_v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/641/045/GCF_008641045.1_PisVer_v2
PRJNA380242,Mamestra configurata,Eukaryota;Animals;Insects,AAFC colony,SAMN06637963,GCA_002192655.2,Scaffold,571.323,36.9995,mitochondrion MT:CM017530.1,NDFZ01,86780,26,2017-06-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/192/655/GCA_002192655.2_ASM219265v2,
PRJNA501908,Ooceraea biroi,Eukaryota;Animals;Insects,clonal line C1,SAMN09281275,GCA_003672135.1, Chromosome,223.876,41.3083,chromosome 1:NC_039506.1/CM010856.1; chromosome 2:NC_039507.1/CM010857.1; chromosome 3:NC_039508.1/CM010858.1; chromosome 4:NC_039509.1/CM010859.1; chromosome 5:NC_039510.1/CM010860.1; chromosome 6:NC_039511.1/CM010861.1; chromosome 7:NC_039512.1/CM010862.1; chromosome 8:NC_039513.1/CM010863.1; chromosome 9:NC_039514.1/CM010864.1; chromosome 10:NC_039515.1/CM010865.1; chromosome 11:NC_039516.1/CM010866.1; chromosome 12:NC_039517.1/CM010867.1; chromosome 13:NC_039518.1/CM010868.1; chromosome 14:NC_039519.1/CM010869.1; mitochondrion MT:CM010870.1,QOIP01,139,24228,2018-10-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/672/135/GCA_003672135.1_Obir_v5.4,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/672/135/GCF_003672135.1_Obir_v5.4
PRJEB46979,Vespa velutina,Eukaryota;Animals;Insects,,SAMEA5248726,GCA_912470025.1, Chromosome,193.995,32.8619,chromosome 1:OU525123.1; chromosome 2:OU525124.1; chromosome 3:OU525125.1; chromosome 4:OU525126.1; chromosome 5:OU525127.1; chromosome 6:OU525128.1; chromosome 7:OU525129.1; chromosome 8:OU525130.1; chromosome 9:OU525131.1; chromosome 10:OU525132.1; chromosome 11:OU525133.1; chromosome 12:OU525134.1; chromosome 13:OU525135.1; chromosome 14:OU525136.1; chromosome 15:OU525137.1; chromosome 16:OU525138.1; chromosome 17:OU525139.1; chromosome 18:OU525140.1; chromosome 19:OU525141.1; chromosome 20:OU525142.1; chromosome 21:OU525143.1; chromosome 22:OU525144.1; chromosome 23:OU525145.1; chromosome 24:OU525146.1; chromosome 25:OU525147.1; mitochondrion MT:OU525148.1,CAJVVP01,43,0,2021-08-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/912/470/025/GCA_912470025.1_iVesVel2.1,
PRJNA504867,Lagenorhynchus obliquidens,Eukaryota;Animals;Mammals,GAN/ISIS:26980383/991018,SAMN09386610,GCA_003676395.1,Scaffold,2334.47,41.3,mitochondrion MT:NC_035426.1/,RCWK01,5422,54600,2018-10-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/676/395/GCA_003676395.1_ASM367639v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/676/395/GCF_003676395.1_ASM367639v1
PRJEB41916,Euproctis similis,Eukaryota;Animals;Insects,,SAMEA7519909,GCA_905147225.2, Chromosome,507.649,36.563,chromosome 1:LR990103.1; chromosome 2:LR990104.1; chromosome 3:LR990105.1; chromosome 4:LR990106.1; chromosome 5:LR990108.1; chromosome 6:LR990109.1; chromosome 7:LR990110.1; chromosome 8:LR990111.1; chromosome 9:LR990112.1; chromosome 10:LR990113.1; chromosome 11:LR990114.1; chromosome 12:LR990115.1; chromosome 13:LR990116.1; chromosome 14:LR990117.1; chromosome 15:LR990118.1; chromosome 16:LR990119.1; chromosome 17:LR990120.1; chromosome 18:LR990121.1; chromosome 19:LR990122.1; chromosome 20:LR990123.1; chromosome 21:LR990124.1; chromosome Z:LR990107.1; mitochondrion MT:LR990125.2,CAJHUZ02,30,0,2021-01-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/147/225/GCA_905147225.2_ilEupSimi1.2,
PRJNA338167,Strix occidentalis caurina,Eukaryota;Animals;Birds,Sequoia,SAMN05525316,GCA_002372975.2,Scaffold,1254.47,44.4,mitochondrion MT:CM030376.1,NIFN02,11572,0,2017-09-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/372/975/GCA_002372975.2_StrOccCau_2.0,
PRJNA578167,Mastomys coucha,Eukaryota;Animals;Mammals,ucsf_1,SAMN07635206,GCA_008632895.1, Chromosome,2507.18,42.0731,chromosome X:NC_045030.1/CM018029.1; chromosome Y:NC_045031.1/CM018030.1; mitochondrion MT:NC_036018.1/,VSBT01,28,54407,2019-09-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/632/895/GCA_008632895.1_UCSF_Mcou_1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/632/895/GCF_008632895.1_UCSF_Mcou_1
PRJEB43998,Leptidea sinapis,Eukaryota;Animals;Insects,,SAMEA7523467,GCA_905404315.1, Chromosome,685.599,35.7309,chromosome 1:FR990154.1; chromosome 2:FR990155.1; chromosome 3:FR990156.1; chromosome 4:FR990157.1; chromosome 5:FR990158.1; chromosome 6:FR990159.1; chromosome 7:FR990160.1; chromosome 8:FR990161.1; chromosome 9:FR990162.1; chromosome 10:FR990163.1; chromosome 11:FR990164.1; chromosome 12:FR990165.1; chromosome 13:FR990166.1; chromosome 14:FR990167.1; chromosome 15:FR990168.1; chromosome 16:FR990169.1; chromosome 17:FR990170.1; chromosome 18:FR990171.1; chromosome 19:FR990172.1; chromosome 20:FR990173.1; chromosome 21:FR990174.1; chromosome 22:FR990175.1; chromosome 23:FR990176.1; chromosome 24:FR990177.1; chromosome 25:FR990178.1; chromosome 26:FR990179.1; chromosome 27:FR990180.1; chromosome 28:FR990181.1; chromosome 29:FR990182.1; chromosome 30:FR990183.1; chromosome 31:FR990184.1; chromosome 32:FR990185.1; chromosome 33:FR990186.1; chromosome 34:FR990187.1; chromosome 35:FR990188.1; chromosome 36:FR990189.1; chromosome 37:FR990190.1; chromosome 38:FR990191.1; chromosome 39:FR990192.1; chromosome 40:FR990193.1; chromosome 41:FR990194.1; chromosome 42:FR990195.1; chromosome 43:FR990196.1; chromosome 44:FR990197.1; chromosome 45:FR990198.1; chromosome 46:FR990199.1; chromosome 47:FR990200.1; chromosome Z:FR990153.1; mitochondrion MT:FR990201.1,CAJQFP01,50,0,2021-03-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/905/404/315/GCA_905404315.1_ilLepSina1.1,
PRJNA636507,Drosophila subobscura,Eukaryota;Animals;Insects,14011-0131.10,SAMN11963385,GCA_008121235.1, Chromosome,126.248,44.9987,chromosome A:NC_048530.1/CM017782.1; chromosome E:NC_048531.1/CM017783.1; chromosome J:NC_048532.1/CM017784.1; chromosome O:NC_048533.1/CM017785.1; chromosome U:NC_048534.1/CM017786.1; chromosome dot:NC_048535.1/CM017787.1; mitochondrion MT:NC_045530.1/,VHIH01,32,22475,2019-08-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/121/235/GCA_008121235.1_UCBerk_Dsub_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/121/235/GCF_008121235.1_UCBerk_Dsub_1.0
PRJNA764244,Apis laboriosa,Eukaryota;Animals;Insects,Shangri-la,SAMN15599769,GCA_014066325.1,Scaffold,226.079,32.1988,mitochondrion MT:NC_036155.2/,JACEOM01,4377,20470,2020-08-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/066/325/GCA_014066325.1_ASM1406632v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/066/325/GCF_014066325.1_ASM1406632v1
PRJNA558062,Sterna hirundo,Eukaryota;Animals;Birds,bSteHir1,SAMN12369541,GCA_009819605.1, Chromosome,1229.97,43.0693,chromosome 1:CM020437.1; chromosome 2:CM020438.1; chromosome 3:CM020439.1; chromosome 4:CM020440.1; chromosome 5:CM020441.1; chromosome 6:CM020442.1; chromosome 7:CM020443.1; chromosome 8:CM020444.1; chromosome 9:CM020445.1; chromosome 10:CM020446.1; chromosome 11:CM020447.1; chromosome 12:CM020448.1; chromosome 13:CM020449.1; chromosome 14:CM020450.1; chromosome 15:CM020451.1; chromosome 16:CM020452.1; chromosome 17:CM020453.1; chromosome 18:CM020454.1; chromosome 19:CM020455.1; chromosome 20:CM020456.1; chromosome 21:CM020457.1; chromosome 22:CM020458.1; chromosome 23:CM020459.1; chromosome 24:CM020460.1; chromosome 25:CM020461.1; chromosome W:CM020463.1; chromosome Z:CM020462.1; mitochondrion MT:CM020500.1,WNMW01,123,0,2019-12-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/605/GCA_009819605.1_bSteHir1.pri,
PRJNA699607,Styela clava,Eukaryota;Animals;Other Animals,OUC-MLS-2016-MISD03-12-06,SAMN10977492,GCA_013122585.2,Scaffold,340.49,35.2997,mitochondrion MT:NC_037072.1/,SJEG02,211,27445,2020-05-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/122/585/GCA_013122585.2_ASM1312258v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/122/585/GCF_013122585.1_ASM1312258v2
PRJNA587754,Nymphaea colorata,Eukaryota;Plants;Land Plants,Beijing-Zhang1983,SAMN12766378,GCA_008831285.1, Chromosome,409.014,38.5932,chromosome 1:NC_045138.1/CM018369.1; chromosome 2:NC_045139.1/CM018370.1; chromosome 3:NC_045140.1/CM018371.1; chromosome 4:NC_045141.1/CM018372.1; chromosome 5:NC_045142.1/CM018373.1; chromosome 6:NC_045143.1/CM018374.1; chromosome 7:NC_045144.1/CM018375.1; chromosome 8:NC_045145.1/CM018376.1; chromosome 9:NC_045146.1/CM018377.1; chromosome 10:NC_045147.1/CM018378.1; chromosome 11:NC_045148.1/CM018379.1; chromosome 12:NC_045149.1/CM018380.1; chromosome 13:NC_045150.1/CM018381.1; chromosome 14:NC_045151.1/CM018382.1; mitochondrion MT:NC_037468.1/,VYXN01,800,33500,2019-09-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/831/285/GCA_008831285.1_ASM883128v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/831/285/GCF_008831285.1_ASM883128v1
PRJNA633311,Haemaphysalis longicornis,Eukaryota;Animals;Other Animals,HaeL-2018,SAMN14941058,GCA_013339765.1, Chromosome,2554.97,47.3997,chromosome 1:CM023448.1; chromosome 2:CM023449.1; chromosome 3:CM023450.1; chromosome 4:CM023451.1; chromosome 5:CM023452.1; chromosome 6:CM023453.1; chromosome 7:CM023454.1; chromosome 8:CM023455.1; chromosome 9:CM023456.1; chromosome 10:CM023457.1; chromosome 11:CM023458.1; mitochondrion MT:CM023493.1,JABSTR01,3890,25652,2020-06-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/339/765/GCA_013339765.1_ASM1333976v1,
PRJNA574454,Ipomoea triloba,Eukaryota;Plants;Land Plants,,SAMN08285276,GCA_003576645.1, Chromosome,461.989,36.4362,chromosome 1:NC_044916.1/CP025660.1; chromosome 2:NC_044917.1/CP025661.1; chromosome 3:NC_044918.1/CP025662.1; chromosome 4:NC_044919.1/CP025663.1; chromosome 5:NC_044920.1/CP025664.1; chromosome 6:NC_044921.1/CP025665.1; chromosome 7:NC_044922.1/CP025666.1; chromosome 8:NC_044923.1/CP025667.1; chromosome 9:NC_044924.1/CP025668.1; chromosome 10:NC_044925.1/CP025669.1; chromosome 11:NC_044926.1/CP025670.1; chromosome 12:NC_044927.1/CP025671.1; chromosome 13:NC_044928.1/CP025672.1; chromosome 14:NC_044929.1/CP025673.1; chromosome 15:NC_044930.1/CP025674.1; chromosome 16:NC_044931.1/CP025675.1; chloroplast Pltd:NC_037913.1/,,17,42046,2018-09-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/576/645/GCA_003576645.1_ASM357664v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/576/645/GCF_003576645.1_ASM357664v1
PRJNA636507,Drosophila athabasca,Eukaryota;Animals;Insects,NJ28,SAMN12204587,GCA_008121215.1, Chromosome,192.661,43.8803,chromosome 2:CM017793.1; chromosome 4:CM017794.1; chromosome 5:CM017795.1; chromosome X:CM017796.1,VMQQ01,119,0,2019-08-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/121/215/GCA_008121215.1_UCBerk_Dath_EB_1.0,
PRJNA484763,Nothoprocta perdicaria,Eukaryota;Animals;Birds,Ctin4,SAMN08476459,GCA_003342845.1,Scaffold,965.904,42.1,,PTEW01,2217,21504,2018-07-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/342/845/GCA_003342845.1_notPer1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/342/845/GCF_003342845.1_notPer1
PRJNA484763,Apteryx rowi,Eukaryota;Animals;Birds,R43461,SAMN08476454,GCA_003343035.1,Scaffold,1228.9,41.6,,PTFB01,4120,37618,2018-07-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/343/035/GCA_003343035.1_aptRow1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/343/035/GCF_003343035.1_aptRow1
PRJNA508959,Bos indicus x Bos taurus,Eukaryota;Animals;Mammals,,SAMN08473802,GCA_003369695.2, Chromosome,2680.95,41.8269,chromosome 1:NC_040076.1/CM011804.1; chromosome 2:NC_040077.1/CM011805.1; chromosome 3:NC_040078.1/CM011806.1; chromosome 4:NC_040079.1/CM011807.1; chromosome 5:NC_040080.1/CM011808.1; chromosome 6:NC_040081.1/CM011809.1; chromosome 7:NC_040082.1/CM011810.1; chromosome 8:NC_040083.1/CM011811.1; chromosome 9:NC_040084.1/CM011812.1; chromosome 10:NC_040085.1/CM011813.1; chromosome 11:NC_040086.1/CM011814.1; chromosome 12:NC_040087.1/CM011815.1; chromosome 13:NC_040088.1/CM011816.1; chromosome 14:NC_040089.1/CM011817.1; chromosome 15:NC_040090.1/CM011818.1; chromosome 16:NC_040091.1/CM011819.1; chromosome 17:NC_040092.1/CM011820.1; chromosome 18:NC_040093.1/CM011821.1; chromosome 19:NC_040094.1/CM011822.1; chromosome 20:NC_040095.1/CM011823.1; chromosome 21:NC_040096.1/CM011824.1; chromosome 22:NC_040097.1/CM011825.1; chromosome 23:NC_040098.1/CM011826.1; chromosome 24:NC_040099.1/CM011827.1; chromosome 25:NC_040100.1/CM011828.1; chromosome 26:NC_040101.1/CM011829.1; chromosome 27:NC_040102.1/CM011830.1; chromosome 28:NC_040103.1/CM011831.1; chromosome 29:NC_040104.1/CM011832.1; chromosome X:NC_040105.1/CM011833.1; mitochondrion MT:CM010492.2,PUFS02,1250,54075,2018-08-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/369/695/GCA_003369695.2_UOA_Brahman_1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/369/695/GCF_003369695.1_UOA_Brahman_1
PRJNA645070,Electrophorus electricus,Eukaryota;Animals;Fishes,fEleEle1,SAMN12623625,GCA_013358815.1, Chromosome,589.359,42.6257,chromosome 1:NC_049535.1/CM023680.1; chromosome 2:NC_049536.1/CM023681.1; chromosome 3:NC_049537.1/CM023682.1; chromosome 4:NC_049538.1/CM023683.1; chromosome 5:NC_049539.1/CM023684.1; chromosome 6:NC_049540.1/CM023685.1; chromosome 7:NC_049541.1/CM023686.1; chromosome 8:NC_049542.1/CM023687.1; chromosome 9:NC_049543.1/CM023688.1; chromosome 10:NC_049544.1/CM023689.1; chromosome 11:NC_049545.1/CM023690.1; chromosome 12:NC_049546.1/CM023691.1; chromosome 13:NC_049547.1/CM023692.1; chromosome 14:NC_049548.1/CM023693.1; chromosome 15:NC_049549.1/CM023694.1; chromosome 16:NC_049550.1/CM023695.1; chromosome 17:NC_049551.1/CM023696.1; chromosome 18:NC_049552.1/CM023697.1; chromosome 19:NC_049553.1/CM023698.1; chromosome 20:NC_049554.1/CM023699.1; chromosome 21:NC_049555.1/CM023700.1; chromosome 22:NC_049556.1/CM023701.1; chromosome 23:NC_049557.1/CM023702.1; chromosome 24:NC_049558.1/CM023703.1; chromosome 25:NC_049559.1/CM023704.1; chromosome 26:NC_049560.1/CM023705.1; mitochondrion MT:CM023706.1,JABVME01,89,45294,2020-06-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/358/815/GCA_013358815.1_fEleEle1.pri,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/358/815/GCF_013358815.1_fEleEle1.pri
PRJNA516936,Marmota flaviventris,Eukaryota;Animals;Mammals,SJ_83,SAMN10078668,GCA_003676075.2,Scaffold,2581.36,40.1,mitochondrion MT:NC_042243.1/,QZWP02,33624,37627,2018-10-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/676/075/GCA_003676075.2_GSC_YBM_2.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/676/075/GCF_003676075.2_GSC_YBM_2.0
